NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
34,2,25000.0,18200.0,30000.0,17675.08432,30000,62400.0,-1524.91568,350000.0,135000.0,0,80000,1943,61,2
34,2,25000.0,18200.0,30000.0,17675.08432,30000,62400.0,-1524.91568,350000.0,135000.0,0,80000,1944,60,3
173,4,14500.0,0.0,4000.0,8000.0,0,25100.0,1400.0,200000.0,0.0,0,50000,1948,56,1
173,4,14500.0,0.0,4000.0,8000.0,0,25100.0,1400.0,200000.0,0.0,0,50000,1950,54,2
173,4,14500.0,0.0,4000.0,8000.0,0,25100.0,1400.0,200000.0,0.0,0,50000,1975,29,3
173,4,14500.0,0.0,4000.0,8000.0,0,25100.0,1400.0,200000.0,0.0,0,50000,1978,26,3
375,4,0.0,7800.0,0.0,6100.0,0,13300.0,600.0,136350.0,0.0,0,2000,1925,79,3
465,2,17493.62466,0.0,30000.0,9581.557159,16500,48293.62466,-7718.442841,202000.0,121463.1542,0,25000,1954,50,2
465,2,17493.62466,0.0,30000.0,9581.557159,16500,48293.62466,-7718.442841,202000.0,121463.1542,0,25000,1956,48,3
465,2,17493.62466,0.0,30000.0,9581.557159,16500,48293.62466,-7718.442841,202000.0,121463.1542,0,25000,1976,28,1
465,2,17493.62466,0.0,30000.0,9581.557159,16500,48293.62466,-7718.442841,202000.0,121463.1542,0,25000,1981,23,3
629,2,33700.0,21580.0,17000.0,10049.60932,1500,21600.0,59229.60932,200000.0,160000.0,0,18000,1939,65,2
629,2,33700.0,21580.0,17000.0,10049.60932,1500,21600.0,59229.60932,200000.0,160000.0,0,18000,1969,35,1
629,2,33700.0,21580.0,17000.0,10049.60932,1500,21600.0,59229.60932,200000.0,160000.0,0,18000,1970,34,1
629,2,33700.0,21580.0,17000.0,10049.60932,1500,21600.0,59229.60932,200000.0,160000.0,0,18000,1915,89,3
632,2,34500.0,4800.0,0.0,17547.34703,1000,27600.0,28247.34703,351000.0,88300.0,0,12000,1950,54,1
632,2,34500.0,4800.0,0.0,17547.34703,1000,27600.0,28247.34703,351000.0,88300.0,0,12000,1952,52,3
632,2,34500.0,4800.0,0.0,17547.34703,1000,27600.0,28247.34703,351000.0,88300.0,0,12000,1976,28,1
632,2,34500.0,4800.0,0.0,17547.34703,1000,27600.0,28247.34703,351000.0,88300.0,0,12000,1983,21,3
633,2,0.0,14300.0,0.0,5151.296165,800,16800.0,1851.296165,91000.0,15000.0,0,5000,1934,70,3
923,4,0.0,5850.0,0.0,6024.891699,0,13200.0,-1325.108301,303000.0,3000.0,0,6000,1932,72,3
1238,4,0.0,11040.0,0.0,4800.0,0,15600.0,240.0,70500.0,0.0,0,3000,1937,67,3
1367,4,0.0,11427.0,0.0,3600.0,0,13200.0,1827.0,73000.0,0.0,0,3500,1927,77,3
1367,4,0.0,11427.0,0.0,3600.0,0,13200.0,1827.0,73000.0,0.0,0,3500,1930,74,3
1763,4,4000.0,0.0,0.0,1882.97233,0,6600.0,-717.02767,35500.0,10000.0,0,3000,1947,57,3
1763,4,4000.0,0.0,0.0,1882.97233,0,6600.0,-717.02767,35500.0,10000.0,0,3000,1954,50,1
1826,2,0.0,9672.0,0.0,6082.97233,0,15600.0,154.97233,100500.0,10000.0,0,500,1929,75,3
1826,2,0.0,9672.0,0.0,6082.97233,0,15600.0,154.97233,100500.0,10000.0,0,500,1930,74,3
1927,2,14284.0,8840.0,2150.0,731.276741,2000,21070.0,2935.276741,3000.0,51427.0,0,12000,1933,71,3
1927,2,14284.0,8840.0,2150.0,731.276741,2000,21070.0,2935.276741,3000.0,51427.0,0,12000,1974,30,1
1946,2,0.0,15779.0,0.0,149.350194,0,11904.0,4024.350194,1000.0,18000.0,0,2000,1953,51,3
1946,2,0.0,15779.0,0.0,149.350194,0,11904.0,4024.350194,1000.0,18000.0,0,2000,1920,84,3
1946,2,0.0,15779.0,0.0,149.350194,0,11904.0,4024.350194,1000.0,18000.0,0,2000,1939,65,3
2178,3,0.0,14616.0,0.0,12099.5668,0,24000.0,2715.566796,503000.0,12000.0,0,2500,1933,71,3
2178,3,0.0,14616.0,0.0,12099.5668,0,24000.0,2715.566796,503000.0,12000.0,0,2500,1928,76,3
2274,4,0.0,12350.0,0.0,3400.0,0,13000.0,2750.0,159000.0,0.0,0,5000,1928,76,3
2274,4,0.0,12350.0,0.0,3400.0,0,13000.0,2750.0,159000.0,0.0,0,5000,1927,77,3
2447,3,40000.0,0.0,0.0,4866.377864,0,16800.0,28066.37786,340000.0,8000.0,0,25000,1957,47,1
2447,3,40000.0,0.0,0.0,4866.377864,0,16800.0,28066.37786,340000.0,8000.0,0,25000,1958,46,1
2447,3,40000.0,0.0,0.0,4866.377864,0,16800.0,28066.37786,340000.0,8000.0,0,25000,1981,23,1
2447,3,40000.0,0.0,0.0,4866.377864,0,16800.0,28066.37786,340000.0,8000.0,0,25000,1985,19,3
2485,3,0.0,6708.0,0.0,6000.0,0,12192.0,516.0,200500.0,0.0,0,15000,1935,69,3
2886,4,49940.0,-12000.0,0.0,4220.743083,700,46340.0,-4879.256917,220000.0,2500.0,0,45000,1949,55,1
2886,4,49940.0,-12000.0,0.0,4220.743083,700,46340.0,-4879.256917,220000.0,2500.0,0,45000,1952,52,1
